iter	Passed	Remaining
0	0	48
1	0	44
2	1	38
3	1	37
4	1	35
5	2	35
6	2	34
7	2	33
8	3	32
9	3	31
10	3	30
11	4	29
12	4	28
13	4	28
14	4	27
15	5	26
16	5	26
17	5	25
18	5	25
19	6	24
20	6	24
21	6	23
22	6	23
23	7	23
24	7	22
25	7	22
26	8	21
27	8	21
28	8	21
29	8	20
30	9	20
31	9	20
32	9	19
33	10	21
34	11	20
35	11	20
36	11	20
37	12	20
38	12	19
39	12	19
40	13	19
41	13	18
42	13	18
43	14	17
44	14	17
45	14	17
46	14	16
47	15	16
48	15	16
49	15	15
50	15	15
51	16	15
52	16	14
53	17	15
54	18	14
55	18	14
56	18	14
57	19	13
58	19	13
59	20	13
60	20	13
61	20	12
62	21	12
63	21	12
64	21	11
65	22	11
66	22	11
67	23	10
68	23	10
69	23	10
70	24	9
71	24	9
72	25	9
73	25	9
74	26	8
75	26	8
76	26	8
77	27	7
78	27	7
79	27	6
80	27	6
81	28	6
82	28	5
83	28	5
84	28	5
85	29	4
86	29	4
87	30	4
88	30	3
89	31	3
90	31	3
91	31	2
92	32	2
93	32	2
94	33	1
95	33	1
96	33	1
97	33	0
98	34	0
99	34	0
