iter	Passed	Remaining
0	57	57253
1	57	28807
2	58	19280
3	58	14531
4	58	11684
5	58	9770
6	59	8401
7	59	7372
8	59	6573
9	59	5934
10	60	5433
11	60	4996
12	60	4627
13	61	4312
14	61	4039
15	61	3799
16	62	3590
17	62	3404
18	62	3235
19	62	3081
20	63	2943
21	63	2816
22	63	2702
23	63	2596
24	64	2500
25	64	2410
26	64	2330
27	65	2262
28	65	2194
29	65	2127
30	66	2064
31	66	2005
32	66	1949
33	66	1897
34	67	1847
35	67	1801
36	67	1760
37	67	1719
38	68	1680
39	68	1642
40	68	1607
41	68	1572
42	69	1539
43	69	1508
44	69	1478
45	69	1450
46	70	1422
47	70	1396
48	70	1370
49	70	1346
50	71	1322
51	71	1299
52	71	1277
53	71	1257
54	72	1239
55	72	1220
56	72	1204
57	73	1188
58	73	1170
59	73	1153
60	73	1138
61	74	1122
62	74	1106
63	74	1091
64	74	1077
65	75	1063
66	75	1050
67	75	1036
68	75	1024
69	76	1011
70	76	1000
71	76	989
72	77	978
73	77	966
74	77	956
75	77	945
76	78	935
77	78	924
78	78	915
79	78	905
80	78	896
81	79	886
82	79	876
83	79	867
84	79	859
85	80	851
86	80	844
87	80	836
88	80	828
89	81	820
90	81	813
91	81	805
92	81	798
93	82	792
94	82	785
95	82	780
96	83	774
97	83	768
98	83	762
99	83	755
100	84	749
101	84	743
102	84	737
103	84	731
104	85	726
105	85	720
106	85	715
107	85	710
108	86	704
109	86	699
110	86	694
111	86	689
112	87	684
113	87	679
114	87	674
115	87	670
116	88	665
117	88	660
118	88	655
119	88	651
120	89	646
121	89	641
122	89	637
123	89	633
124	89	629
125	90	624
126	90	620
127	90	616
128	90	612
129	91	609
130	91	605
131	91	601
132	91	598
133	91	594
134	92	590
135	92	587
136	92	583
137	92	580
138	93	577
139	93	573
140	93	570
141	93	566
142	94	563
143	94	560
144	94	557
145	94	554
146	95	551
147	95	548
148	95	545
149	95	542
150	95	539
151	96	536
152	96	533
153	96	532
154	97	529
155	97	526
156	97	524
157	98	525
158	98	522
159	99	520
160	99	517
161	99	514
162	99	512
163	100	510
164	100	507
165	100	505
166	100	503
167	101	500
168	101	498
169	101	495
170	101	493
171	102	491
172	102	489
173	102	486
174	102	484
175	103	482
176	103	480
177	103	478
178	103	476
179	104	474
180	104	472
181	104	470
182	104	468
183	105	466
184	105	463
185	105	461
186	105	460
187	106	458
188	106	456
189	106	454
190	106	452
191	107	450
192	107	448
193	107	447
194	108	446
195	108	444
196	108	442
197	109	441
198	109	439
199	109	437
200	109	436
201	109	434
202	110	432
203	110	431
204	110	430
205	111	428
206	111	427
207	111	425
208	111	423
209	112	422
210	112	421
211	112	419
212	113	417
213	113	416
214	113	414
215	113	412
216	114	411
217	114	409
218	114	408
219	114	407
220	115	406
221	115	405
222	115	403
223	116	402
224	116	400
225	116	399
226	116	397
227	117	396
228	117	395
229	117	394
230	118	393
231	118	391
232	118	390
233	118	389
234	119	387
235	119	386
236	119	385
237	119	384
238	120	382
239	120	381
240	120	379
241	120	378
242	121	377
243	121	376
244	121	374
245	121	373
246	122	372
247	122	370
248	122	370
249	122	368
250	123	367
251	123	366
252	123	364
253	123	363
254	124	362
255	124	361
256	124	360
257	125	359
258	125	358
259	125	357
260	125	356
261	126	355
262	126	354
263	126	353
264	127	352
265	127	351
266	127	349
267	127	348
268	127	347
269	128	346
270	128	345
271	128	344
272	128	343
273	129	342
274	130	343
275	130	342
276	130	341
277	130	339
278	131	339
279	131	338
280	131	337
281	132	336
282	132	335
283	132	334
284	132	333
285	133	332
286	133	331
287	133	330
288	134	329
289	134	328
290	134	327
291	134	327
292	135	326
293	135	325
294	135	324
295	135	323
296	136	322
297	136	321
298	136	320
299	137	319
300	137	318
301	137	317
302	137	316
303	138	316
304	138	315
305	138	314
306	138	313
307	139	312
308	139	311
309	139	310
310	139	309
311	140	308
312	140	307
313	140	306
314	140	305
315	140	305
316	141	304
317	141	303
318	141	302
319	142	301
320	142	300
321	142	300
322	142	299
323	142	298
324	143	297
325	143	296
326	143	296
327	144	295
328	144	294
329	144	293
330	144	293
331	145	292
332	145	291
333	145	290
334	146	289
335	146	289
336	146	288
337	146	287
338	147	286
339	147	285
340	147	285
341	147	284
342	147	283
343	148	282
344	148	281
345	148	281
346	148	280
347	149	279
348	149	278
349	149	277
350	149	277
351	150	276
352	150	275
353	150	274
354	150	273
355	150	273
356	151	272
357	151	271
358	151	270
359	152	270
360	152	269
361	152	268
362	152	268
363	153	267
364	153	266
365	153	266
366	154	265
367	154	265
368	154	264
369	154	263
370	155	263
371	155	262
372	156	262
373	156	262
374	156	261
375	157	260
376	157	260
377	157	259
378	157	258
379	158	258
380	158	257
381	158	256
382	159	256
383	159	255
384	159	254
385	159	254
386	159	253
387	160	252
388	160	252
389	160	251
390	160	250
391	161	250
392	161	249
393	161	248
394	161	248
395	162	247
396	162	246
397	162	246
398	162	245
399	163	244
400	163	244
401	163	243
402	163	242
403	164	242
404	164	241
405	164	241
406	165	240
407	165	240
408	165	239
409	166	239
410	166	238
411	166	237
412	166	237
413	167	236
414	167	235
415	167	235
416	167	234
417	167	233
418	168	233
419	168	232
420	169	232
421	169	231
422	169	231
423	169	230
424	170	230
425	170	229
426	170	228
427	170	228
428	171	227
429	171	227
430	171	226
431	171	226
432	172	225
433	172	224
434	172	224
435	172	223
436	173	223
437	173	222
438	173	222
439	173	221
440	174	220
441	174	220
442	174	219
443	175	219
444	175	218
445	175	218
446	175	217
447	176	217
448	176	216
449	176	216
450	177	215
451	177	214
452	177	214
453	177	213
454	178	213
455	178	212
456	178	212
457	178	211
458	179	211
459	179	211
460	180	210
461	180	209
462	180	209
463	180	208
464	181	208
465	181	207
466	181	207
467	181	206
468	182	206
469	182	205
470	182	204
471	182	204
472	182	203
473	183	203
474	183	202
475	183	202
476	184	201
477	184	201
478	184	201
479	185	200
480	186	200
481	186	200
482	186	199
483	187	199
484	187	199
485	188	198
486	188	198
487	188	197
488	188	197
489	189	197
490	189	196
491	189	195
492	190	195
493	190	194
494	190	194
495	190	193
496	191	193
497	191	192
498	191	192
499	191	191
500	192	191
501	192	191
502	192	190
503	193	190
504	193	189
505	193	189
506	193	188
507	194	187
508	194	187
509	194	187
510	195	186
511	195	186
512	195	185
513	196	185
514	196	184
515	196	184
516	196	183
517	197	183
518	197	182
519	197	182
520	197	181
521	198	181
522	198	180
523	198	180
524	198	179
525	199	179
526	199	179
527	199	178
528	200	178
529	200	177
530	200	177
531	200	176
532	201	176
533	201	175
534	201	175
535	202	174
536	202	174
537	202	173
538	202	173
539	203	173
540	203	172
541	203	172
542	204	171
543	204	171
544	204	170
545	204	170
546	205	170
547	206	169
548	206	169
549	206	169
550	206	168
551	207	168
552	207	167
553	207	167
554	208	166
555	208	166
556	208	165
557	208	165
558	209	164
559	209	164
560	209	163
561	209	163
562	210	163
563	210	162
564	210	162
565	211	161
566	211	161
567	211	160
568	212	160
569	212	160
570	212	159
571	212	159
572	213	158
573	213	158
574	213	157
575	214	157
576	214	157
577	214	156
578	214	156
579	215	155
580	215	155
581	215	154
582	216	154
583	216	154
584	216	153
585	217	153
586	217	152
587	217	152
588	218	152
589	218	151
590	218	151
591	218	150
592	219	150
593	219	149
594	219	149
595	219	149
596	220	148
597	220	148
598	220	147
599	221	147
600	221	147
601	221	146
602	221	146
603	222	145
604	222	145
605	222	144
606	223	144
607	223	143
608	223	143
609	223	143
610	224	142
611	224	142
612	224	141
613	225	141
614	226	141
615	226	141
